"id","journal_title","publishers_name","issn_number","link","aim_identifier","medline","google_scholar_index","impact_factor","sjr","h_index","eigen_factor","eigen_metrix","snip","snip_metrix","open_access_journal","listed_in_doaj","present_issn","publisher_in_cope","online_publisher_africa","hosted_on_inasps","country_id","language_id","platform_id","thematic_area_id"
"1","International Journal of Energetica","The Scientific Club of Al Manahil Association.",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,True,True,False,True,True,"1","1","1","1"
"2","Journal de la Faculté de Médecine","University of Djelfa",NULL,"nan",False,True,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"1","2","1","2"
"3","Journal of Fundamental and Applied Sciences","J Fundam Appl Sci.",NULL,"nan",False,NULL,True,19,False,NULL,False,"nan",False,NULL,True,True,False,False,True,True,"1","1","1","1"
"4","les cahiers du cread","nan",NULL,"nan",False,NULL,True,5,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"1","2","1","1"
"5","Management & Economics Research Journal","HATASO-S2SynergyGlobal",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,True,True,True,True,True,"1","1","1","3"
"6","Revue d'Information Scientifique et Technique","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"1","2","1","1"
"7","Synthèse: Revue des Sciences et de la Technologie","Université Badji Mokhtar- Annaba ",NULL,"nan",False,NULL,True,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"1","2","1","1"
"8","Technologies Avancées","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"1","2","1","1"
"9","Annales des Sciences Agronomiques","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"2","1","1","4"
"10","Botswana Journal of Economics","BOTSWANA ECONOMICS ASSOCIATION",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,True,False,True,False,True,True,"3","1","1","3"
"11","Botswana Journal of Technology"," University of Botswana",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"3","1","1","1"
"12","Marang: Journal of Language and Literature","Blackwell Publishers",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,False,False,True,True,"3","1","1","5"
"13","Revue Burkinabè de droit","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"4","2","1","1"
"14","Science et Technique, Sciences de la Santé","nan",NULL,"nan",False,NULL,True,3,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"4","2","1","1"
"15","Sud Sciences et Technologies","nan",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"4","2","1","1"
"16","East Africa Science","Knowledge for Health Project",NULL,"nan",False,NULL,False,NULL,False,NULL,False,"nan",False,NULL,False,False,True,False,True,True,"5","1","1","1"
